City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,lihue,21.9789,-159.3672,297.73,90,0,2.06,US,1682359590
121,kecskemet,46.9062,19.6913,287.49,77,75,2.06,HU,1682359591
122,nuuk,64.1835,-51.7216,277.49,81,40,5.81,GL,1682359591
123,amga,60.8953,131.9608,269.66,94,100,3.12,RU,1682359591
124,polyarnyy,69.1989,33.4478,268.41,77,35,3.57,RU,1682359592
125,sandnessjoen,66.0217,12.6316,276.21,60,20,2.57,NO,1682359592
126,preobrazheniye,42.9019,133.9064,275.79,65,38,3.77,RU,1682359592
127,daru,-9.0763,143.2092,299.78,89,75,5.36,PG,1682359592
128,constantia,44.1833,28.65,283.53,82,35,5.58,RO,1682359593
129,swakopmund,-22.6833,14.5333,300.62,82,6,2.24,NA,1682359593
130,ixtapa,20.7,-105.2,299.72,57,40,4.12,MX,1682359594
131,antofagasta,-23.65,-70.4,292.75,76,7,3.97,CL,1682359466
132,kuta,-8.7233,115.1723,301.12,83,20,3.6,ID,1682359594
133,howard springs,-12.497,131.047,299.1,86,34,2.42,AU,1682359595
134,hermanus,-34.4187,19.2345,288.04,86,0,5.46,ZA,1682359595
135,uige,-7.6087,15.0613,295.67,83,76,1.59,AO,1682359595
136,caleta de carquin,-11.0925,-77.6267,299.38,69,86,6.74,PE,1682359596
137,argostolion,38.1811,20.489,289.19,88,20,2.06,GR,1682359596
138,bangui,4.3612,18.555,303.25,70,40,2.06,CF,1682359596
139,kenema,7.8767,-11.1875,305.39,52,44,2.34,SL,1682359597
140,yaren,-0.5472,166.916,301.08,77,60,2.9,NR,1682359597
141,esquel,-42.9,-71.3167,290.59,28,2,2.74,AR,1682359456
142,tarauaca,-8.1614,-70.7656,300.58,84,52,1.45,BR,1682359598
143,puerto san jose,13.9256,-90.8244,305.42,52,95,4.46,GT,1682359598
144,papatowai,-46.5619,169.4708,284.61,75,94,9.94,NZ,1682359598
145,kone,-21.0595,164.8658,294.47,93,85,1.74,NC,1682359599
146,aasiaat,68.7098,-52.8699,273.36,94,100,2.5,GL,1682359599
147,mount gambier,-37.8333,140.7667,286.68,71,2,2.66,AU,1682359599
148,upata,8.0086,-62.3989,303.81,50,69,0.95,VE,1682359599
149,la foa,-21.7108,165.8276,295.75,87,83,1.83,NC,1682359600
150,kralendijk,12.15,-68.2667,303.14,66,40,3.6,BQ,1682359600
151,dapitan,8.6464,123.4208,300.27,82,48,3.59,PH,1682359600
152,arraial do cabo,-22.9661,-42.0278,299.07,57,40,4.63,BR,1682359601
153,whitehorse,60.7161,-135.0538,276.58,81,100,5.66,CA,1682359442
154,cabimas,10.3883,-71.4399,303.25,59,94,2.23,VE,1682359601
155,rabo de peixe,37.8,-25.5833,290.88,94,75,3.6,PT,1682359602
156,tofol,5.3248,163.0078,297.98,88,100,2.5,FM,1682359602
157,galliano,29.4422,-90.2992,294.82,60,100,6.69,US,1682359602
158,vimmerby,57.6659,15.8552,280.32,91,100,3.14,SE,1682359603
159,atar,20.5169,-13.0499,309.53,8,15,5.29,MR,1682359603
160,hithadhoo,-0.6,73.0833,302.29,73,89,2.51,MV,1682359603
161,kaa-khem,51.6833,94.7333,277.44,48,76,2.42,RU,1682359604
162,laguna,38.421,-121.4238,296.53,54,0,2.06,US,1682359604
